player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year
西浦 直亨,26,48,44,9,13,3,1,1,21,5,1,0,1,0,3,0,0,12,0,0.295,0.477,0.34,ヤクルト,2015
西田 明央,13,40,34,1,5,1,0,1,9,2,0,0,3,0,3,0,0,11,1,0.147,0.265,0.216,ヤクルト,2015
バーネット,59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ヤクルト,2015
バレンティン,15,52,43,4,8,2,0,1,13,6,0,0,0,0,9,0,0,14,1,0.186,0.302,0.327,ヤクルト,2015
畠山 和洋,137,584,512,64,137,26,0,26,241,105,0,0,0,8,62,0,2,92,10,0.268,0.471,0.344,ヤクルト,2015
比屋根 渉,84,240,209,42,48,6,0,3,63,9,6,2,10,0,17,0,4,38,2,0.23,0.301,0.3,ヤクルト,2015
藤井 亮太,13,38,34,5,6,1,0,0,7,2,0,1,2,0,2,0,0,13,1,0.176,0.206,0.222,ヤクルト,2015
古野 正人,27,14,10,1,1,0,0,0,1,2,0,0,1,1,2,0,0,6,0,0.1,0.1,0.231,ヤクルト,2015
松井 淳,7,13,12,1,2,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0.167,0.167,0.231,ヤクルト,2015
松元 ユウイチ,39,51,47,1,8,2,0,0,10,5,0,0,0,1,3,0,0,5,1,0.17,0.213,0.216,ヤクルト,2015
ミレッジ,24,81,76,3,16,2,1,1,23,9,0,2,0,0,5,0,0,16,1,0.211,0.303,0.259,ヤクルト,2015
三輪 正義,87,102,86,13,20,1,2,0,25,7,4,2,6,1,9,0,0,23,1,0.233,0.291,0.302,ヤクルト,2015
森岡 良介,75,125,112,10,21,2,1,1,28,9,1,1,3,1,8,0,1,22,6,0.188,0.25,0.246,ヤクルト,2015
八木 亮祐,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ヤクルト,2015
谷内 亮太,4,6,6,1,3,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0.5,0.667,0.5,ヤクルト,2015
山田 哲人,143,646,557,119,183,39,2,38,340,100,34,4,0,3,81,1,5,111,11,0.329,0.61,0.416,ヤクルト,2015
山中 浩史,9,15,14,0,2,0,0,0,2,1,0,0,1,0,0,0,0,8,2,0.143,0.143,0.143,ヤクルト,2015
雄平,141,585,551,57,149,33,4,8,214,60,7,4,1,3,27,1,3,82,7,0.27,0.388,0.307,ヤクルト,2015
ロマン,61,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ヤクルト,2015
秋山 拓巳,3,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,0.0,阪神,2015
新井 良太,93,162,150,10,29,8,0,4,49,19,0,0,0,1,10,0,1,41,3,0.193,0.327,0.247,阪神,2015
荒木 郁也,29,41,35,8,7,0,0,0,7,0,4,0,2,0,3,0,1,7,1,0.2,0.2,0.282,阪神,2015
